Carpet Area,BHK,House Type,Furnishing,Address,Price
1800 sqft,3,Apartment,Unfurnished,"Dove Deck, Ajwa Road Vadodara","₹
45 Lac"
760 sqft,2,Apartment,Semi-Furnished,"Pancham Elite, Khodiyar Nagar Vadodara","₹
45 Lac"
624 sqft,2,Apartment,Unfurnished,"Courtyard The Residence III, Sevasi Vadodara","₹
35.7 Lac"
5250 sqft,5,Apartment,N/A,"Nilamber Bellissimo 3, Vasna Bhayli Main Road Vadodara","₹
3 Cr"
920 sqft,2,Apartment,Furnished,Gotri Vadodara,"₹
42 Lac"
660 sqft,2,Apartment,Semi-Furnished,"AGSP Krishnam Airwings, Harni Vadodara","₹
38.9 Lac"
650 sqft,2,Apartment,Semi-Furnished,"Velani Exotica, Atladra Vadodara","₹
27 Lac"
865 sqft,2,Apartment,Unfurnished,Sama Savli Road Vadodara,"₹
33.5 Lac"
1080 sqft,3,Apartment,Semi-Furnished,"Shyamal Park, Bhayli Vadodara","₹
45 Lac"
990 sqft,2,Apartment,Unfurnished,"Param Heights, Vemali Vadodara","₹
28 Lac"
849 sqft,3,Apartment,Unfurnished,"Courtyard The Residence III, Sevasi Vadodara","₹
36 Lac"
1000 sqft,1,House,Unfurnished,Tarsali Vadodara,"₹
29.8 Lac"
1200 sqft,2,Apartment,Unfurnished,Manjalpur Vadodara,"₹
65 Lac"
2022 sqft,3,Apartment,Furnished,"Pratham Bluets, New Alkapuri Vadodara","₹
75 Lac"
1199 sqft,3,Apartment,Semi-Furnished,"ISCON Harmony, Sevasi Vadodara","₹
65 Lac"
1250 sqft,2,House,Furnished,Ellora Park Vadodara,"₹
85 Lac"
1240 sqft,3,Apartment,Unfurnished,"Shree Two, Bhayli Vadodara","₹
72 Lac"
1953 sqft,5,House,Semi-Furnished,"Jyoti Park Society, Sama Vadodara","₹
1.35 Cr"
1800 sqft,5,House,Furnished,"Nutan Saurabh Society, Karelibaug Vadodara","₹
1.10 Cr"
800 sqft,2,Apartment,Semi-Furnished,"Aatmiya Nilkanth Greens, Kalali Vadodara","₹
45 Lac"
2100 sqft,3,Apartment,Furnished,Vasna Road Vadodara,"₹
1.30 Cr"
