Carpet Area,BHK,House Type,Furnishing,Address,Price
1300 sqft,3,House,Unfurnished,100 Feet Road Anand,"₹
40 Lac"
3000 sqft,3,N/A,Furnished,Karamsad Road Anand,"₹
75 Lac"
731 sqft,2,Apartment,Semi-Furnished,Ashray Appartment Anand,"₹
20 Lac"
600 sqft,2,House,Semi-Furnished,Vasad Anand,"₹
36.5 Lac"
1800 sqft,3,House,Furnished,Chikodra Road Anand,"₹
55 Lac"
1129 sqft,3,House,Semi-Furnished,Jogni Mata Road Anand,"₹
44.5 Lac"
800 sqft,2,Apartment,Unfurnished,Sahjanand status Karamsad Anand,"₹
26.5 Lac"
749 sqft,2,Apartment,Semi-Furnished,Rajodpura Anand,"₹
26.5 Lac"
1855 sqft,3,House,Unfurnished,Mangalpura Anand,"₹
80 Lac"
432 sqft,2,House,Unfurnished,Anand Vaghasi Road Anand,"₹
30 Lac"
1100 sqft,3,House,Unfurnished,Bakrol Road Vallabh Vidyanagar Anand,"₹
40 Lac"
1332 sqft,3,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
86 Lac"
5600 sqft,4,House,Furnished,Amul Dairy Road Anand,"₹
4 Cr"
1600 sqft,3,Apartment,Unfurnished,Grid Crossing Anand,"₹
25 Lac"
960 sqft,2,House,Semi-Furnished,Hadgood Anand,"₹
40 Lac"
6066 sqm,3,House,Unfurnished,"Triveni Vishwa, Bakrol Vadtal Road Anand","₹
35 Lac"
1400 sqft,5,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
1.80 Cr"
900 sqft,4,House,Unfurnished,krishna society Anand,"₹
40 Lac"
2000 sqft,8,House,Unfurnished,Umreth Anand,"₹
18 Lac"
507 sqm,4,Villa,Unfurnished,"Nr. Kalpana Cinema,Laxminarayan Colony Anand","₹
1 Lac"
4500 sqft,6,Villa,Semi-Furnished,Karamsad Anand,"₹
3.25 Cr"
300 sqft,1,Apartment,Semi-Furnished,Anand Vidyanagar Road Anand,"₹
6.5 Lac"
2000 sqft,4,House,Unfurnished,pushkar florance Anand,"₹
80 Lac"
1107 sqft,2,Apartment,Unfurnished,Karamsad Road Anand,"₹
18 Lac"
4000 sqft,4,House,Furnished,Vallabh Vidyanagar Anand,"₹
3.50 Cr"
3000 sqft,5,Villa,Furnished,Sardar Patel Road Anand,"₹
2 Cr"
800 sqft,2,Apartment,Unfurnished,Anand Sojitra Road Anand,"₹
33 Lac"
1610 sqft,3,Apartment,Semi-Furnished,Harekrishna Society Anand,"₹
83 Lac"
400 sqft,1,House,Unfurnished,Boriavi Anand,"₹
15 Lac"
1450 sqft,3,Villa,Semi-Furnished,Rajodpura Anand,"₹
60 Lac"
1900 sqft,3,House,Semi-Furnished,Jitodiya Road Anand,"₹
65 Lac"
1400 sqft,2,House,Unfurnished,Ganesh Chokdi Anand,"₹
10 Lac"
2200 sqft,3,Farm House,Semi-Furnished,rishikkesh resort home sindhtrot umeeta road asarma Anand,"₹
75 Lac"
2150 sqft,3,House,Semi-Furnished,"6, Laksh Township-1, Jitodiya Road , Opposite Akruti Nagar Society Anand","₹
75 Lac"
900 sqft,2,House,Unfurnished,luksh dream Village jitodia Anand,"₹
42 Lac"
1089 sqft,3,House,Unfurnished,Anand Vidyanagar Road Anand,"₹
35 Lac"
1600 sqft,3,House,Furnished,Karamsad Anand,"₹
22 Lac"
1250 sqft,3,House,Furnished,Bakrol Anand,"₹
23 Lac"
2500 sqft,3,Villa,Furnished,Anand Sojitra Road Anand,"₹
90 Lac"
2250 sqft,4,Villa,Unfurnished,Aman Township Anand,"₹
72 Lac"
875 sqft,2,House,Semi-Furnished,Anand,"₹
50 Lac"
500 sqft,1,N/A,Unfurnished,Vasad Anand,"₹
10 Lac"
2000 sqft,4,Apartment,Unfurnished,Lambhvel Anand,"₹
1 Cr"
1468 sqft,3,House,Semi-Furnished,Saurabh Suman Residency 3BHK Anand,"₹
58 Lac"
3000 sqft,4,Villa,Unfurnished,Amul Dairy Road Anand,"₹
3 Cr"
1300 sqft,3,Apartment,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
35 Lac"
1000 sqft,2,House,Unfurnished,Chikodra Road Anand,"₹
35 Lac"
2200 sqft,3,House,Semi-Furnished,Jitodiya Road Anand,"₹
50 Lac"
1100 sqft,3,House,Unfurnished,Jitodiya Road Anand,"₹
34 Lac"
1155 sqft,3,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
72 Lac"
1250 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
69 Lac"
1829 sqft,4,House,Unfurnished,Laksh Avyan Anand,"₹
85 Lac"
2238 sqft,3,Villa,Unfurnished,Anand Vaghasi Road Anand,"₹
45 Lac"
700 sqft,2,N/A,Unfurnished,Vallabh Vidyanagar Anand,"₹
25 Lac"
1128 sqft,3,House,Unfurnished,hitesh l dabhi Anand,"₹
48 Lac"
550 sqft,3,House,Semi-Furnished,gamdi Anand,"₹
25 Lac"
1000 sqft,2,Apartment,Unfurnished,"Vallabh Vidyanagar, Anand Anand","₹
24 Lac"
2167 sqft,3,Apartment,Unfurnished,"Svayam Sapphire, Anand Sojitra Road Anand","₹
55 Lac"
600 sqft,2,House,Semi-Furnished,Ganesh Chokdi Anand,"₹
2 Cr"
750 sqft,3,House,Semi-Furnished,Karamsad Anand,"₹
44 Lac"
2500 sqft,4,House,N/A,Vivekanand Wad Anand,"₹
1.10 Cr"
1160 sqft,4,House,Semi-Furnished,Petlad Anand,"₹
40 Lac"
"283,203 guntha",1,House,Furnished,Friozard Anand,"₹
1 Cr"
N/A,2,House,Semi-Furnished,Chavdapura Anand,"₹
35 Lac"
1187 sqft,2,Apartment,Furnished,Karamsad Road Anand,"₹
26 Lac"
1300 sqft,2,House,Unfurnished,Pradhan's park Anand,"₹
38 Lac"
1320 sqft,3,Apartment,Unfurnished,"Anand Vidyanagar Road, Anand Anand","₹
33 Lac"
800 sqft,4,House,Semi-Furnished,"Vaibhav society,sent Xavier's road, Anand Anand","₹
25 Lac"
1000 guntha,3,Farm House,Semi-Furnished,hp business Anand,"₹
1.30 Cr"
2200 sqft,3,House,Semi-Furnished,80 Feet Road Anand,"₹
79 Lac"
3950 sqft,4,House,Furnished,80 Feet Road Anand,"₹
2 Cr"
1365 sqft,2,Apartment,Unfurnished,100 Feet Road Anand,"₹
30 Lac"
1200 sqft,4,House,Semi-Furnished,100 Feet Road Anand,"₹
45 Lac"
1300 sqft,3,House,Unfurnished,100 Feet Road Anand,"₹
40 Lac"
1500 sqft,3,House,Unfurnished,100 Feet Road Anand,"₹
52 Lac"
1099 sqft,2,Apartment,Semi-Furnished,Gamdivad Anand,"₹
37 Lac"
2300 sqft,3,House,Semi-Furnished,Vaghasi Road Anand,"₹
1.10 Cr"
808 sqft,2,House,Unfurnished,Lambhvel Anand,"₹
17.8 Lac"
63 sqm,2,House,Semi-Furnished,Lambhvel Anand,"₹
20 Lac"
1000 sqft,3,N/A,Semi-Furnished,Lambhvel Anand,"₹
20 Lac"
450 sqft,1,Apartment,Unfurnished,V V Nagar Anand,"₹
15 Lac"
1000 sqft,3,House,Unfurnished,V V Nagar Anand,"₹
50 Lac"
2000 sqft,3,Apartment,Semi-Furnished,Riverstone Anand,"₹
66.4 Lac"
780 sqft,2,Apartment,Furnished,80 Feet Road Anand,"₹
32.5 Lac"
145 guntha,3,House,Unfurnished,80 Feet Road Anand,"₹
1.25 Cr"
900 sqft,2,Apartment,Semi-Furnished,Ganesh Chokdi Anand,"₹
24.5 Lac"
1700 sqft,4,House,Semi-Furnished,shyam residency Anand,"₹
85 Lac"
960 sqft,2,Apartment,Semi-Furnished,Near Vyayam Shala Anand,"₹
22 Lac"
1450 sqft,3,House,Semi-Furnished,Nalvi Anand,"₹
40 Lac"
70 sqft,2,Apartment,Unfurnished,Sarvari Heights Anand,"₹
25 Lac"
125 sqyrd,3,House,Unfurnished,Vagashi Anand,"₹
25 Lac"
3100 sqft,4,House,Unfurnished,Akshar Farm Road Anand,"₹
1.65 Cr"
520 sqft,3,House,Unfurnished,Anand,"₹
40 Lac"
609 sqft,2,House,Unfurnished,Madhuri park society Anand,"₹
15 Lac"
"15,000 sqft",3,Apartment,Semi-Furnished,"Shapath Residency, Karamsad Road Anand","₹
51 Lac"
1050 sqft,3,Apartment,Furnished,Karamsad Anand,"₹
35 Lac"
1170 sqft,2,House,Furnished,Jitodia Anand,"₹
31 Lac"
1225 sqft,4,Villa,Furnished,Anand Vidyanagar Road Anand,"₹
70 Lac"
1900 sqft,3,House,Unfurnished,Jitodiya Road Anand,"₹
60 Lac"
1100 sqft,5,House,Unfurnished,Lambhvel Anand,"₹
95 Lac"
2167 sqft,3,Apartment,Unfurnished,"Svayam Symphony, Anand Sojitra Road Anand","₹
55 Lac"
800 sqft,2,N/A,Unfurnished,Vallabh Vidyanagar Anand,"₹
27 Lac"
1170 sqft,2,N/A,Semi-Furnished,Karamsad Anand,"₹
33 Lac"
1500 sqft,2,Apartment,Semi-Furnished,Karamsad Anand,"₹
27 Lac"
74 sqm,2,Apartment,Unfurnished,Ranchhodray Mandir Goya Talab Anand,"₹
36 Lac"
1000 sqft,2,House,Unfurnished,Amul Dairy Road Anand,"₹
50 Lac"
3500 sqft,1,Farm House,Semi-Furnished,Anklav Anand,"₹
2 Cr"
2247 sqft,4,House,Unfurnished,"Gruhmandir park society,near new vidhyanagar,mogri Anand","₹
90 Lac"
2500 sqft,4,House,Semi-Furnished,Anand Vidyanagar Road Anand,"₹
90 Lac"
N/A,2,Apartment,Semi-Furnished,Anand Vidyanagar Road Anand,"₹
15.5 Lac"
800 sqft,2,Apartment,Furnished,"Ansh Dev Nandan, Borsad Chokdi Anand","₹
27 Lac"
2300 sqft,3,House,Furnished,Anand Vidyanagar Road Anand,"₹
83 Lac"
2000 sqft,4,Apartment,Unfurnished,Lambhel Anand,"₹
1 Cr"
780 sqft,2,Apartment,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
22 Lac"
1300 sqft,3,House,Semi-Furnished,Bakrol Anand,"₹
40 Lac"
889 sqft,2,House,Semi-Furnished,Anand Vaghasi-Chikhodra Road Anand,"₹
30 Lac"
2125 sqft,3,House,Unfurnished,Ganesh Chokdi Anand,"₹
55 Lac"
1300 sqft,3,House,Semi-Furnished,Karamsad Anand,"₹
48 Lac"
836 sqft,2,Apartment,Unfurnished,Nanikhodiyar Anand,"₹
32 Lac"
1790 sqft,4,House,Furnished,Bakrol Anand,"₹
80 Lac"
920 sqft,3,Apartment,Unfurnished,V V Nagar Anand,"₹
37 Lac"
